,id,paragraph,question,choices,correct_answer
0,1_shapeworld_addshape_exist_0,"If there will be one more pentagon added to the given image, this change will make the resuting image to have total 2 counts of entities being a pentagon shape.",Tell if the statement about the image in the paragraph is true or not.,"['True', 'False']",True
1,1_shapeworld_addshape_exist_1,"If someone remove one more square from the given image, this will make the image to with total 2 shapes being a square .",Tell if the statement about the image in the paragraph is true or not.,"['True', 'False']",False
2,1_shapeworld_addshape_exist_2,"If there will be one more cross added to the given image, this change will make the resuting image to have total 2 counts of entities being a cross shape.",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",True
3,1_shapeworld_addshape_exist_3,"If we remove one more triangle from the given image, this action will make the resuting image to have total 2 counts of shapes being a triangle .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
4,1_shapeworld_addshape_exist_4,"If we add one more circle to the given image, this action will make the resuting image to have total 3 counts of shapes being a circle .",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",True
5,1_shapeworld_addshape_exist_5,"If we add one more circle to the given image, this action will make the resuting image to have total 2 counts of shapes being a circle .",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",True
6,1_shapeworld_addshape_exist_6,"If we remove one more triangle from the given image, this action will make the resuting image to have total 2 counts of shapes being a triangle .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
7,1_shapeworld_addshape_exist_7,"If we add one more triangle to the given image, this action will make the resuting image to have total 2 counts of shapes being a triangle .",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",True
8,1_shapeworld_addshape_exist_8,"If we add one more rectangle to the given image, this action will make the resuting image to have total 2 counts of shapes being a rectangle .",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",True
9,1_shapeworld_addshape_exist_9,"If someone add one more ellipse to the given image, this will make the image to with total 2 shapes being a ellipse .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",True
10,1_shapeworld_addshape_exist_10,"If someone remove one more square from the given image, this will make the image to with total 5 shapes being a square .",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",False
11,1_shapeworld_addshape_exist_11,"If there will be one more cross added to the given image, this change will make the resuting image to have total 2 counts of entities being a cross shape.",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",True
12,1_shapeworld_addshape_exist_12,"If there will be one more ellipse added to the given image, this change will make the resuting image to have total 2 counts of entities being a ellipse shape.","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",True
13,1_shapeworld_addshape_exist_13,"If someone remove one more pentagon from the given image, this will make the image to with total 2 shapes being a pentagon .",Tell if the statement about the image in the paragraph is true or not.,"['True', 'False']",False
14,1_shapeworld_addshape_exist_14,"If someone remove one more cross from the given image, this will make the image to with total 2 shapes being a cross .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
15,1_shapeworld_addshape_exist_15,"If someone remove one more square from the given image, this will make the image to with total 2 shapes being a square .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
16,1_shapeworld_addshape_exist_16,"If we add one more square to the given image, this action will make the resuting image to have total 2 counts of shapes being a square .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",True
17,1_shapeworld_addshape_exist_17,"If someone remove one more cross from the given image, this will make the image to with total 2 shapes being a cross .",Tell if the statement about the image in the paragraph is true or not.,"['True', 'False']",False
18,1_shapeworld_addshape_exist_18,"If someone remove one more semicircle from the given image, this will make the image to with total 3 shapes being a semicircle .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
19,1_shapeworld_addshape_exist_19,"If we remove one more semicircle from the given image, this action will make the resuting image to have total 3 counts of shapes being a semicircle .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
20,1_shapeworld_addshape_exist_20,"If someone remove one more square from the given image, this will make the image to with total 3 shapes being a square .",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",False
21,1_shapeworld_addshape_exist_21,"If we remove one more pentagon from the given image, this action will make the resuting image to have total 2 counts of shapes being a pentagon .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
22,1_shapeworld_addshape_exist_22,"If there will be one more cross removed from the given image, this change will make the resuting image to have total 5 counts of entities being a cross shape.",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",False
23,1_shapeworld_addshape_exist_23,"If there will be one more semicircle added to the given image, this change will make the resuting image to have total 4 counts of entities being a semicircle shape.",Determine whether the passage is a valid argument for the given image.,"['True', 'False']",True
24,1_shapeworld_addshape_exist_24,"If we remove one more rectangle from the given image, this action will make the resuting image to have total 2 counts of shapes being a rectangle .","Based on the image, check whether the statement in the paragraph is true or not.","['True', 'False']",False
25,1_shapeworld_addshape_exist_25,"If someone remove one more triangle from the given image, this will make the image to with total 2 shapes being a triangle .",Tell if the statement about the image in the paragraph is true or not.,"['True', 'False']",False
